county_FIPS,unemployed_num,unemployment_rate
12023,1293,4.4
12027,633,4.5
12029,276,4.8
12031,20519,4.3
12033,6011,4.2
12035,2240,4.9
12037,172,3.7
12039,1006,5.5
12041,305,4.5
12043,268,5.4
12045,237,3.9
12047,211,4.9
12049,531,5.9
12051,1178,7.4
12053,3677,5.3
12055,2080,5.7
12057,28696,4
12059,331,4.8
12061,3249,5.1
12063,788,4.6
12065,243,4.4
12067,110,3.7
12069,6409,4.2
12071,13854,4.1
12073,6005,4
12075,757,4.5
12077,121,4.6
12079,331,4.5
12081,7037,4
12083,6812,5.1
12085,3047,4.2
12086,61853,4.6
12087,1505,3.3
12089,1540,3.9
12091,3310,3.5
12093,811,4.4
12095,27740,3.8
12097,7561,4.4
12099,30459,4.2
12101,10288,4.5
12103,18695,3.9
12105,14205,4.8
12107,1487,5.5
12109,4279,3.4
12111,7259,5.2
12113,3110,3.9
12115,7362,4
12117,9304,3.8
12119,1869,6.2
12121,791,4.3
12123,398,4.5
12125,182,3.8
12127,11200,4.5
12129,526,3.6
12131,1111,3.7
12133,432,4.4
13000,243604,4.8
13001,519,5.5
13003,190,4.5
13005,230,4.5
13007,79,6.3
13009,1053,5.9
13011,369,3.9
13013,1622,4.1
13015,2332,4.7
13017,433,7.8
13019,386,5.2
13021,3768,5.4
13023,314,6.8
13025,425,5.8
13027,324,4.6
13029,754,4.2
13031,1885,5.1
13033,678,7.2
13035,521,4.9
13037,121,5.3
13039,1079,5.1
13043,218,4.1
13045,2815,5.1
13047,1385,4.2
13049,250,5.1
13051,6359,4.5
13053,138,6.9
13055,508,4.8
13057,5002,3.8
13059,2948,4.8
13061,80,9.1
13063,8046,5.9
13065,156,5.6
13067,17560,4.1
13069,958,5.1
13071,1015,4.6
13073,3120,4.2
13075,357,4.6
13077,3108,4.2
13079,288,5
13081,498,5.2
13083,367,4.4
13085,468,3.9
13087,660,5.6
13089,19361,4.9
13091,455,6.3
13093,262,5.1
13095,2393,6.1
13097,3598,4.9
13099,251,5.5
13101,76,4
13103,1216,4.1
13105,421,5.3
13107,586,6.8
13109,218,4.4
13111,536,4.8
13113,2370,4.1
13115,2346,5.3
13117,4455,3.8
13119,492,4.8
13121,27028,4.9
13123,618,5.1
13125,66,5
13127,1919,4.8
13129,1256,4.7
13131,534,4.9
13133,359,5.2
13135,20839,4.3
13137,898,4.6
13139,3997,3.9
13141,183,7.2
13143,605,4.8
